Timestamp,1. What is your class year?,  2. What is your major?  ,3. What is your gender?,  4. What primary method do you use to organize your studying?  ,  5. When do you typically do most of your studying?  ,  6. Where do you usually study?  ,  7. Why do you prefer the study method you selected?  ,  8. Why do you study at the time of day you selected?  ,  9. Why do you study in the location you selected?  ,"10. On average, how many hours per week do you study?"
2/4/2026 11:51:07,First-year,Business,Male,Digital calendar,Evening (5pm–9pm),Room,It keeps me organized,It fits my work/extracurricular schedule,It’s comfortable,0–5
2/4/2026 11:51:22,Junior,Business,Male,no formal system,Evening (5pm–9pm),Room,It’s what I’m used to,It’s when I feel most focused,It’s comfortable,0–5
2/4/2026 11:51:24,Sophmore,Business,Male,Digital calendar,Late night (9pm–2am),Room,It keeps me organized,It fits my work/extracurricular schedule,It’s comfortable,6-10
2/4/2026 11:51:24,First-year,STEM,Male,Digital calendar,Evening (5pm–9pm),Room,It keeps me organized,It fits my work/extracurricular schedule,It’s quiet,6-10
2/4/2026 11:51:59,Senior,Business,Male,Personal memory,Evening (5pm–9pm),Library,It’s convenient,It fits my work/extracurricular schedule,It’s comfortable,0–5
2/4/2026 11:53:57,Sophmore,STEM,Female,Digital calendar,Evening (5pm–9pm),Room,It’s convenient,It fits my work/extracurricular schedule,It’s comfortable,11-15
2/4/2026 11:56:23,Graduate Student ,Health & Human Performance ,Female,Physical planner,Late morning (9am–12pm),Coffee shop,It keeps me organized,It fits my work/extracurricular schedule,It helps me focus,16-20
2/4/2026 11:57:06,First-year,SLS,Male,Digital calendar,Evening (5pm–9pm),Room,It’s what I’m used to,It fits my work/extracurricular schedule,It’s comfortable,0–5
2/4/2026 11:59:18,Junior,Entrepreneurship ,Male,no formal system,Afternoon (12pm–5pm),Room,It’s what I’m used to,It’s when I feel most focused,It’s comfortable,0–5
2/4/2026 11:59:27,Junior,Business,Male,Personal memory,Afternoon (12pm–5pm),Room,It’s what I’m used to,It’s when I feel most focused,It’s comfortable,21+
2/4/2026 12:00:39,Junior,Art,Male,Digital calendar,Evening (5pm–9pm),Room,It keeps me organized,It fits my work/extracurricular schedule,It’s comfortable,11-15
2/4/2026 12:01:12,Junior,Business,Male,Personal memory,Late morning (9am–12pm),Academic building,It’s what I’m used to,It fits my work/extracurricular schedule,It helps me focus,16-20
2/4/2026 12:03:30,First-year,STEM,Male,Physical planner,Evening (5pm–9pm),Library,It keeps me organized,It fits my class schedule,It’s close to where I live,0–5
2/4/2026 12:04:41,Junior,STEM,Male,Mixture of calendar and memory ,Evening (5pm–9pm),Room,It’s convenient,It’s quieter at that time,It’s comfortable,0–5
2/4/2026 12:05:55,Senior,Business,Transgender Female,Personal memory,Afternoon (12pm–5pm),Room,It reduces stress,It fits my work/extracurricular schedule,It’s comfortable,6-10
2/4/2026 12:10:00,Sophmore,Business,Male,Personal memory,Late night (9pm–2am),Room,It’s what I’m used to,It’s when I feel most focused,It’s comfortable,0–5
2/4/2026 12:10:40,Sophmore,SLS,Transgender Male,To-do list apps,Late night (9pm–2am),Library,It keeps me organized,It fits my work/extracurricular schedule,It’s comfortable,6-10
2/4/2026 12:11:45,Senior,STEM,Female,Digital calendar,Evening (5pm–9pm),Room,It keeps me organized,It fits my class schedule,It’s comfortable,0–5
2/4/2026 12:20:24,Junior,Business,Male,Digital calendar,Late night (9pm–2am),Library,It reduces stress,It’s when I feel most focused,It helps me focus,0–5
2/4/2026 13:14:07,First-year,Psychology,Male,Digital calendar,Evening (5pm–9pm),Room,It’s convenient,It fits my work/extracurricular schedule,It’s close to where I live,0–5
2/4/2026 14:37:03,First-year,STEM,Male,To-do list apps,Afternoon (12pm–5pm),Library,It keeps me organized,It fits my class schedule,It helps me focus,6-10
2/4/2026 15:50:00,Junior,Business,Male,Physical planner,Late morning (9am–12pm),Academic building,It removes me from outside distractions ,It’s when I feel most focused,It helps me focus,0–5
2/4/2026 20:10:20,Sophmore,Business,Male,no formal system,Early morning (5am-9am),Room,It’s convenient,It’s when I feel most focused,It’s quiet,0–5
